fips,total_workers,outdoor_workers,percentage
17067,20046,3293,0.16427217399980046
17069,3298,89,0.026986052152819892
17071,5411,459,0.08482720384402144
17073,67795,6412,0.09457924625709861
17075,36900,2751,0.07455284552845529
17077,121405,5752,0.047378608788764875
17079,10199,1516,0.14864202372781646
17081,96014,3380,0.035203199533401376
17083,25206,2033,0.08065539950805364
17085,35501,2731,0.076927410495479
17087,11453,503,0.04391862394132542
17089,1030914,72903,0.07071685902024805
17091,216141,8528,0.03945572566056417
17093,142846,9289,0.06502807218963079
17095,84321,2699,0.03200863367369931
17097,1645220,96969,0.058939837833238105
17099,203226,20519,0.10096641177802053
17101,21346,1596,0.07476810643680315
17103,63713,2673,0.04195376139877262
17105,66674,4004,0.06005339412664607
17107,43237,2225,0.051460554617572915
17109,51107,2546,0.04981705050188819
17111,474301,45987,0.0969574173362485
17113,406462,15326,0.03770586180257933
17115,233242,18095,0.07758036717229315
17117,50460,4903,0.09716607213634562
17119,502954,38129,0.07581011384738962
17121,62501,4261,0.06817490920145278
17123,14121,963,0.06819630337794774
17125,14315,667,0.04659448131330772
17127,14643,443,0.030253363381820664
17129,8332,811,0.09733557369179069
17131,15474,1064,0.06876050148636423
17133,42176,3608,0.08554628224582701
17135,42945,3862,0.08992897892653394
17137,68699,2689,0.03914176334444461
17139,25546,2420,0.09473107335786425
17141,75705,4720,0.06234726900468925
17143,509237,26595,0.052225191806565506
17145,22729,917,0.04034493378503234
17147,17529,1689,0.09635461235666609
17149,19666,1239,0.06300213566561579
17151,2537,53,0.02089081592432006
17153,6933,54,0.007788836001730853
17155,8896,733,0.08239658273381295
17157,59221,2820,0.04761824352847807
17159,29113,1664,0.05715659670937382
17161,359141,19280,0.05368365071100208
17163,446618,30717,0.06877689658724011
17165,37791,2746,0.07266280331295812
17167,635719,52608,0.08275354362540682
17169,7557,638,0.08442503639010189
17171,4639,203,0.04375943091183445
17173,24961,1293,0.05180080926244942
17175,7071,1434,0.20280016970725498
17177,85149,10129,0.11895618269151723
17179,230597,19654,0.08523094402789282
17181,24911,909,0.036489904058448076
17183,128242,4651,0.036267369504530494
17185,16298,2346,0.14394404221376855
17187,30865,1833,0.05938765592094605
17189,32644,2453,0.07514397745374342
17191,18986,1732,0.09122511324133573
17193,19976,2704,0.13536243492190628
17195,103255,4440,0.043000338966636
17197,1233078,103400,0.0838551981302075
17199,136767,8287,0.060592101895925184
17201,609618,32589,0.05345806718305562
17203,50043,5724,0.11438163179665488
17999,815408,39762,0.048763318485960404
18001,67370,2429,0.03605462371975657
18003,941943,68396,0.0726116123799423
18005,247653,9915,0.04003585662196703
18007,11596,1692,0.145912383580545
18009,14902,814,0.054623540464367196
18011,173008,12175,0.07037246832516415
18013,14120,1017,0.07202549575070821
18015,27028,2428,0.08983276602042327
18017,71861,3692,0.051376963860786794
18019,271670,15899,0.05852320830419259
18021,37901,1428,0.0376771061449566
18023,54433,3392,0.06231513971304172
18025,9215,280,0.030385241454150842
18027,60700,7836,0.12909390444810542
18029,69835,3878,0.055530894250733875
18031,70405,2076,0.0294865421489951
18033,108177,4478,0.04139512095916877
18035,220900,9921,0.044911724762335896
18037,140782,6657,0.04728587461465244
18039,673914,22158,0.03287956623545438
18041,29882,950,0.031791714075363096
18043,152267,10423,0.06845212685611458
18045,23542,1313,0.055772661626030076
18047,22279,1436,0.06445531666591858
18049,31005,2209,0.07124657313336559
18051,105174,6243,0.05935877688402077
18053,134516,3799,0.028241993517499776
18055,31606,3240,0.10251218123141176
18057,731733,55791,0.07624502379966464
18059,127243,10392,0.08167050446782927
18061,50429,3994,0.07920046005274743
18063,378288,27484,0.072653639555048
18065,65234,3588,0.055001992825827024
18067,183397,8849,0.04825051663876726
18069,67571,3107,0.04598126415178109
18071,110415,5012,0.045392383281257075
18073,58131,4057,0.06979064526672515
18075,34426,1482,0.0430488584209609
18077,61239,3030,0.04947827364914515
18079,37592,3881,0.10324005107469675
18081,289011,21590,0.07470303898467533
18083,85721,11396,0.13294291947130807
18085,187928,9360,0.04980630879911455
18087,71715,4073,0.05679425503730043
18089,919420,71907,0.07820908833830023
18091,197171,17578,0.0891510414817595
18093,67251,4803,0.07141901235669358
18095,195607,14022,0.0716845511663693
